GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
kalkulator,com.kalkulator.App,KalkulatorMain,43,0,4,0,16,0,4,0,2,0
kalkulator,com.kalkulator.Input,InputOperator,3,22,0,4,1,10,1,3,1,1
kalkulator,com.kalkulator.Input,InputAngka,5,28,1,5,3,12,2,3,1,1
kalkulator,com.kalkulator.View.Error,ErrorOperatorInvalid,3,4,0,0,1,2,1,1,1,1
kalkulator,com.kalkulator.View.Error,ErrorRangeAngka,3,4,0,0,1,2,1,1,1,1
kalkulator,com.kalkulator.View.Error,ErrorInputBukanAngka,3,4,0,0,1,2,1,1,1,1
kalkulator,com.kalkulator.View.Error,ErrorPembagianNol,3,4,0,0,1,2,1,1,1,1
kalkulator,com.kalkulator.View.Information,ViewInputDua,3,2,0,0,1,1,1,1,1,1
kalkulator,com.kalkulator.View.Information,ViewInputSatu,3,2,0,0,1,1,1,1,1,1
kalkulator,com.kalkulator.View.Information,ViewCloseApp,3,4,0,0,1,2,1,1,1,1
kalkulator,com.kalkulator.View.Information,ViewKonfirmasiKeluar,3,8,0,0,1,4,1,2,1,2
kalkulator,com.kalkulator.View.Information,ViewMasukkanOperator,3,4,0,0,1,2,1,1,1,1
kalkulator,com.kalkulator.View.Information,ViewInitialApp,3,4,0,0,1,2,1,1,1,1
kalkulator,com.kalkulator.View.Information,ViewHasilHitung,3,5,0,0,1,2,1,1,1,1
kalkulator,com.kalkulator.Validation,ValidasiRangeAngka,3,12,1,3,1,1,2,2,1,1
kalkulator,com.kalkulator.Validation,ValidasiInputAngka,3,3,0,0,1,1,1,1,1,1
kalkulator,com.kalkulator.Validation,ValidasiPembagi,3,12,1,3,1,4,2,2,1,1
kalkulator,com.kalkulator.Validation,ValidasiOperator,3,16,0,8,1,1,1,5,1,1
kalkulator,com.kalkulator.Exit,KonfirmasiKeluar,3,20,0,4,1,8,1,3,1,1
kalkulator,com.kalkulator.Operator,TambahOperator,3,4,0,0,1,1,1,1,1,1
kalkulator,com.kalkulator.Operator,KaliOperator,3,4,0,0,1,1,1,1,1,1
kalkulator,com.kalkulator.Operator,KurangOperator,3,4,0,0,1,1,1,1,1,1
kalkulator,com.kalkulator.Operator,BagiOperator,3,14,0,2,1,4,1,2,1,1
kalkulator,com.kalkulator.Operator,Kalkulasi,3,24,0,5,1,6,1,5,1,1
